Complexity,Loss,Equation
1,60.471615,"0.009894125"
3,54.46618,"(3.1389616 - x2)"
5,48.56768,"((3.1357193 - x2) * x0)"
7,44.663464,"(((-0.66824293 * x2) - -2.0752144) * x0)"
9,23.635437,"((x1 - ((x2 * x1) * 0.31887323)) * x0)"
11,23.609613,"((x1 - ((x2 * x1) * 0.31992784)) * (x0 - 0.09062319))"
13,23.565489,"((x1 - ((x2 * x1) * 0.31887323)) * (x0 + (-0.0025415858 / x2)))"
15,20.779755,"((x1 - (((x2 + (0.31887323 / (x2 + 0.06653801))) * x1) * 0.31887323)) * x0)"
17,18.235266,"((((((-0.84612566 / 0.23250258) + (0.819178 / (0.17560035 + x2))) + x2) * x1) * -0.40944338) * x0)"
19,18.169792,"(((((((-0.84612566 / 0.23250258) + 0.06007127) + (0.819178 / (0.17560035 + x2))) + x2) * x1) * -0.40944338) * x0)"
